Country.Region,Province.State,1.22.20,1.23.20,1.24.20,1.25.20,1.26.20,1.27.20,1.28.20,1.29.20,1.30.20,1.31.20,2.1.20,2.2.20,2.3.20,2.4.20,2.5.20,2.6.20,2.7.20,2.8.20,2.9.20,2.10.20,2.11.20,2.12.20,2.13.20,2.14.20,2.15.20,2.16.20,2.17.20,2.18.20,2.19.20,2.20.20,2.21.20,2.22.20,2.23.20,2.24.20,2.25.20,2.26.20,2.27.20,2.28.20,2.29.20,3.1.20,3.2.20,3.3.20,3.4.20,3.5.20,3.6.20,3.7.20,3.8.20,3.9.20,3.10.20,3.11.20,3.12.20,3.13.20,3.14.20,3.15.20,3.16.20,3.17.20,3.18.20,3.19.20,3.20.20,3.21.20,3.22.20,3.23.20,3.24.20,3.25.20,3.26.20,3.27.20,3.28.20,3.29.20,3.30.20,3.31.20,4.1.20,4.2.20,4.3.20,4.4.20,4.5.20,4.6.20,4.7.20,4.8.20,4.9.20,4.10.20,4.11.20,4.12.20,4.13.20,4.14.20,4.15.20,4.16.20,4.17.20,4.18.20,4.19.20,4.20.20,4.21.20,4.22.20,4.23.20,4.24.20,4.25.20,4.26.20,4.27.20,4.28.20,4.29.20,4.30.20,5.1.20,5.2.20,5.3.20,5.4.20,5.5.20,5.6.20,5.7.20,5.8.20,5.9.20,5.10.20,5.11.20,5.12.20,5.13.2020,5.14.2020,5.15.2020,5.16.2020,5.17.2020,5.18.2020,5.19.2020,5.20.2020,5.21.2020,5.22.2020,5.23.2020,5.24.2020,5.25.2020,5.26.2020,5.27.2020,5.28.2020,5.29.2020,5.30.2020,5.31.2020,6.1.2020,6.2.2020,6.3.2020,6.4.2020,6.5.2020,6.6.2020,6.7.2020,6.8.2020,6.9.2020,6.10.2020,6.11.2020,6.12.2020,6.13.2020,6.14.2020,6.15.2020,6.16.2020,6.17.2020,6.18.2020,6.19.2020,6.20.2020,6.21.2020,6.22.2020,6.23.2020,6.24.2020,6.25.2020,6.26.2020,6.27.2020,6.28.2020,6.29.2020,6.30.2020,7.1.2020,7.2.2020,7.3.2020,7.4.2020,7.5.2020,7.6.2020,7.7.2020,7.8.2020,7.9.2020,7.10.2020,7.11.2020,7.12.2020,7.13.2020,7.14.2020,7.15.2020
Mexico,Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,4,6,5,12,14,18,22,25,26,26,26,26,27,29,32,34,36,37,38,41,42,45,48,48,54,58,66,75,81,88,95,104,119,129,133,140,148,169,180,201,210,217,224,256,261,273,294,306,314,323,323,355,362,381,401,408,421,444,460,476,499,518,545,562,585,617,645,682,715,733,762,801,852,900,942,994,1025,1060,1103,1154,1209,1265,1322,1359,1399,1448,1491,1551,1612,1671,1702,1757,1805,1859,1905,1972,2023,2053,2079,2094,2126,2193,2266,2336,2387,2417,2493,2604,2668,2733,2833,2890,2929,2960,3025,3084
Mexico,Baja California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,6,8,10,14,16,20,26,35,41,55,66,87,119,131,151,172,194,232,263,306,342,381,413,458,491,541,595,636,692,738,799,834,892,974,1065,1144,1202,1265,1313,1385,1451,1534,1645,1733,1839,1919,1995,2083,2196,2316,2435,2527,2567,2656,2724,2823,2927,3016,3128,3258,3385,3480,3657,3818,3970,4115,4163,4282,4385,4488,4576,4686,4825,4878,5022,5154,5304,5449,5593,5729,5775,5898,6034,6176,6296,6417,6583,6626,6754,6879,7033,7183,7331,7522,7656,7840,7994,8169,8322,8476,8596,8687,8816,8953,9162,9318,9512,9648,9732,9875,10022,10197,10360,10546,10688,10796,11030,11247
Mexico,Baja California Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,5,7,9,10,16,19,22,27,35,39,45,57,73,89,103,111,119,127,131,138,139,142,145,151,163,161,167,174,183,196,204,212,214,218,220,232,241,252,263,264,270,277,289,297,310,323,321,332,339,346,350,363,372,376,389,398,405,417,433,450,456,468,486,501,519,534,550,571,587,600,622,642,661,687,719,748,789,816,841,866,896,929,950,990,1035,1052,1093,1128,1150,1196,1243,1296,1333,1382,1424,1465,1514,1579,1648,1703,1767,1816,1889,1993,2090,2212,2324,2393,2449,2499,2553,2603
Mexico,Campeche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1,2,2,4,4,5,4,4,4,5,6,6,8,9,10,10,11,12,16,17,18,20,22,24,25,30,32,34,38,43,48,52,57,63,65,69,74,80,87,97,107,118,123,135,144,156,169,177,191,206,215,226,237,251,267,277,293,309,321,341,363,381,402,431,454,478,494,513,529,552,573,588,623,658,685,714,737,783,842,906,941,971,1003,1072,1134,1219,1298,1382,1443,1505,1584,1669,1743,1829,1910,1967,2023,2065,2141,2200,2288,2353,2419,2474,2532,2622,2709,2796,2896,2958,2996,3055,3121,3182
Mexico,Coahuila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,5,6,7,7,8,10,11,14,15,16,19,21,25,27,30,31,32,34,36,40,41,46,50,57,60,65,74,85,95,103,113,124,131,143,154,171,181,195,215,232,257,284,311,337,358,373,407,452,503,562,599,636,700,751,799,879,955,1023,1083,1181,1288,1387,1501,1599,1669,1755,1846,1965,2058,2158,2268,2351,2444,2519,2616,2714,2803,2906,2981,3075,3115,3178,3273,3368,3439,3522,3623,3683,3774,3864,3959,4036,4102,4174,4195,4238,4284,4353,4433,4547,4612,4631,4680,4739,4808,4887,4973,5044,5095,5206,5308
Mexico,Colima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,3,3,3,4,5,6,7,9,12,13,15,18,21,24,30,38,44,50,57,62,71,82,91,98,104,114,128,136,150,171,189,209,237,276,309,340,361,389,426,462,511,556,599,633,664,706,755,804,847,896,941,969,1001,1044,1094,1134,1182,1230,1273,1317,1349,1409,1458,1535,1589,1622,1667,1711,1751,1807,1842,1899,1921,1981,2016,2062,2113,2159,2210,2225,2260,2311,2362,2411,2447,2501,2509,2547,2582,2640,2685,2738,2808,2834,2883,2926,2974,3021,3062,3102,3128,3175,3237,3307,3365,3445,3498,3542,3593,3650,3700,3771,3838,3882,3926,4012,4092
Mexico,Chiapas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,3,5,11,17,21,33,36,44,61,71,85,104,114,120,135,167,195,233,271,295,316,344,375,417,468,530,594,687,783,862,977,1076,1192,1313,1430,1545,1671,1857,2025,2232,2415,2657,2978,3263,3663,3919,4124,4369,4748,5098,5535,5933,6280,6636,7064,7395,7891,8492,9128,9667,10092,10451,11025,11568,12216,12881,13478,14005,14656,15437,16048,16789,17481,18300,18938,19449,20200,20973,21667,22361,22984,23703,24181,24950,25734,26622,27474,28185,28892,29236,29956,30798,31612,32536,33094,33838,34164,34842,35598,36514,37252,37990,38929,39386,40295,41011,41893,42653,43250,43841,44196,44901,45659,46637,47688,48785,49459,50102,50989,52062,53160,54331,55449,56259,57233,58518,59670
Mexico,Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,4,5,6,6,8,8,10,13,16,21,29,35,44,53,64,73,80,94,102,114,119,129,138,148,151,157,165,165,170,178,192,190,200,214,224,238,246,252,263,275,282,299,319,329,340,355,372,397,418,435,453,472,483,504,512,538,564,584,605,644,682,706,755,790,838,869,894,939,994,1039,1104,1144,1190,1252,1313,1366,1434,1510,1558,1614,1697,1796,1900,2011,2130,2191,2259,2363,2507,2654,2835,3004,3133,3247,3457,3751,3966,4156,4359,4540,4674,4887,5119,5357,5555,5822,6067,6212,6419,6681,6914,7135,7303,7444,7550,7658,7834,7988
Mexico,Cdmx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,5,6,6,6,7,8,9,10,11,11,11,12,15,16,17,17,18,19,18,21,22,23,25,26,30,30,31,33,36,38,38,43,45,54,57,60,65,70,75,80,84,89,94,102,106,112,115,121,127,133,138,145,154,163,171,180,191,197,204,215,225,239,251,262,273,282,301,316,333,354,367,387,402,424,442,465,489,507,522,535,554,583,602,635,656,674,701,731,761,802,858,889,906,940,961,980
Mexico,Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,3,3,4,4,4,5,5,6,7,7,7,7,8,8,8,9,10,10,11,12,11,11,12,13,13,14,21,23,25,27,29,31,35,41,43,46,51,53,59,64,71,72,73,77,86,94,98,100,102,110,116,126,138,142,150,160,166,181,197,214,224,240,258,275,297,316,342,375,391,417,448,471,509,576,600,625,673,727,770,822,871,891,920,966,1039,1099,1173,1219,1244,1281,1335,1433,1516,1584,1665,1723,1769,1809,1884,1980,2048,2125,2179,2219,2270,2337,2425,2550,2631,2691,2734,2796,2868,2924
Mexico,Guanajuato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,7,9,11,11,13,16,20,23,26,26,27,28,28,31,34,38,42,47,53,55,57,62,65,65,66,72,80,96,105,116,120,125,137,145,156,168,175,188,201,209,223,240,251,265,285,298,319,349,383,414,438,457,496,521,563,590,622,649,684,739,774,822,865,928,964,1040,1119,1203,1316,1427,1513,1595,1714,1854,1997,2183,2329,2458,2560,2678,2854,3013,3187,3378,3501,3622,3853,4101,4372,4657,4968,5178,5375,5657,6028,6369,6650,6959,7183,7345,7604,7950,8297,8704,9104,9457,9656,9999,10411,10890,11375,11844,12177,12444,12785,13072,13329
Mexico,Guerrero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,4,4,5,4,6,8,10,12,13,14,15,17,17,18,20,23,27,34,39,43,48,52,62,70,73,75,80,88,95,103,108,112,123,138,157,170,184,198,219,238,254,271,305,332,364,380,413,444,477,516,550,572,614,644,698,741,788,834,921,1006,1102,1210,1308,1395,1479,1564,1660,1753,1845,1920,1987,2084,2174,2264,2359,2477,2585,2687,2778,2858,2936,3065,3203,3338,3427,3557,3631,3744,3835,3942,4056,4146,4284,4412,4532,4617,4755,4867,5020,5210,5345,5551,5727,5982,6240,6507,6701,6804,6932,7070,7245,7436,7568,7727,7823,7992,8149
Mexico,Hidalgo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,4,4,4,6,9,11,12,14,17,20,22,23,24,27,29,31,34,36,36,41,44,49,51,55,57,59,64,69,81,89,95,107,121,136,154,169,182,199,217,241,265,285,312,332,348,379,410,437,467,493,520,561,589,642,700,749,783,835,890,939,1010,1071,1140,1195,1247,1306,1370,1447,1503,1555,1615,1667,1734,1788,1850,1910,1974,2026,2066,2151,2220,2288,2380,2436,2506,2542,2593,2655,2732,2804,2880,2959,3005,3085,3162,3250,3331,3392,3454,3503,3571,3661,3759,3848,3950,4019,4092,4177,4280,4388,4508,4621,4707,4812,4938,5035
Mexico,Jalisco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,7,8,12,16,18,21,26,29,30,34,39,45,50,55,56,58,59,63,68,73,79,81,88,96,99,107,114,121,123,122,127,130,138,146,154,154,162,182,199,224,235,245,254,265,278,300,320,347,366,383,393,411,451,474,507,532,557,585,601,647,693,715,752,785,842,878,926,982,1040,1092,1149,1253,1363,1461,1587,1702,1796,1947,2106,2272,2424,2607,2717,2813,2977,3173,3377,3575,3736,3855,3984,4112,4269,4435,4632,4790,4953,5123,5268,5479,5653,5821,6006,6165,6306,6397,6579,6733,6932,7140,7375,7524,7699,7927,8164,8419,8670,8893,9072,9298,9572,9760
Mexico,Estado de Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,5,6,9,13,13,14,19,23,28,35,41,47,59,74,98,119,138,157,171,196,218,244,274,315,361,415,481,519,590,657,738,805,881,978,1075,1162,1290,1444,1546,1700,1900,2110,2353,2541,2717,2895,3136,3332,3587,3887,4127,4400,4694,4880,5132,5505,5854,6203,6486,6761,7143,7501,7923,8356,8724,9120,9531,9987,10344,10847,11365,11901,12416,12844,13396,13990,14550,15069,15513,16049,16471,17134,17872,18606,19307,19850,20473,20985,21611,22375,23050,23757,24242,24905,25295,25881,26498,27216,27814,28416,29172,29614,30299,30893,31513,32091,32554,33044,33360,33849,34465,35178,35930,36784,37370,37818,38411,39184,39885,40600,41311,41828,42319,43257,44117
