Country.Region,Province.State,1.22.20,1.23.20,1.24.20,1.25.20,1.26.20,1.27.20,1.28.20,1.29.20,1.30.20,1.31.20,2.1.20,2.2.20,2.3.20,2.4.20,2.5.20,2.6.20,2.7.20,2.8.20,2.9.20,2.10.20,2.11.20,2.12.20,2.13.20,2.14.20,2.15.20,2.16.20,2.17.20,2.18.20,2.19.20,2.20.20,2.21.20,2.22.20,2.23.20,2.24.20,2.25.20,2.26.20,2.27.20,2.28.20,2.29.20,3.1.20,3.2.20,3.3.20,3.4.20,3.5.20,3.6.20,3.7.20,3.8.20,3.9.20,3.10.20,3.11.20,3.12.20,3.13.20,3.14.20,3.15.20,3.16.20,3.17.20,3.18.20,3.19.20,3.20.20,3.21.20,3.22.20,3.23.20,3.24.20,3.25.20,3.26.20,3.27.20,3.28.20,3.29.20,3.30.20,3.31.20,4.1.20,4.2.20,4.3.20,4.4.20,4.5.20,4.6.20,4.7.20,4.8.20,4.9.20,4.10.20,4.11.20,4.12.20,4.13.20,4.14.20,4.15.20,4.16.20,4.17.20,4.18.20,4.19.20,4.20.20,4.21.20,4.22.20,4.23.20,4.24.20,4.25.20,4.26.20,4.27.20,4.28.20,4.29.20,4.30.20,5.1.20,5.2.20,5.3.20,5.4.20,5.5.20,5.6.20,5.7.20,5.8.20,5.9.20,5.10.20,5.11.20,5.12.20,5.13.2020,5.14.2020,5.15.2020,5.16.2020,5.17.2020,5.18.2020,5.19.2020,5.20.2020,5.21.2020,5.22.2020,5.23.2020,5.24.2020,5.25.2020,5.26.2020,5.27.2020,5.28.2020
Mexico,Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,4,6,6,12,14,18,22,25,26,26,26,26,27,29,32,35,36,38,39,41,43,46,48,48,54,57,66,75,80,88,95,104,119,129,133,140,148,167,177,197,207,214,221,254,259,271,291,304,313,321,324,358,366,387,410,419,434,460,478,496,524,550,584,607,647,698,737,769
Mexico,Baja California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,6,8,10,14,17,20,26,35,41,55,67,88,120,133,153,173,196,233,264,308,345,385,418,463,497,547,601,644,697,744,804,840,896,978,1069,1149,1207,1269,1318,1389,1453,1534,1645,1726,1831,1909,1981,2063,2174,2291,2411,2509,2555,2642,2715,2823,2927,3024,3136,3252,3376,3467,3601,3769,3953,4114,4210,4381,4579,4777
Mexico,Baja California Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,5,7,9,10,16,19,22,27,35,40,46,58,74,91,106,115,123,131,135,142,143,146,149,156,168,166,172,179,189,202,211,219,221,225,227,240,249,261,272,274,280,289,301,310,323,336,334,346,349,359,365,380,390,397,411,423,432,447,466,486,501,520,545,568
Mexico,Campeche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1,2,2,4,4,5,4,4,4,5,6,6,8,9,10,10,11,12,16,18,18,20,22,24,26,30,33,34,38,43,49,53,59,65,66,71,76,82,89,99,110,122,127,139,149,160,175,184,198,214,225,236,247,263,281,293,311,329,344,366,393,417,444,479,500,522
Mexico,Coahuila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,5,6,7,7,8,10,11,13,14,16,19,21,24,26,29,30,31,33,36,39,40,46,49,56,60,65,73,85,95,104,113,125,132,143,155,173,184,198,219,236,263,292,321,347,370,389,424,473,531,596,637,679,748,804,861,952,1038,1115,1180,1279,1350,1410,1471
Mexico,Colima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,3,4,4,4,5,6,7,9,12,13,15,19,21,24,30,38,44,50,57,62,71,81,90,96,100,108,121,130,143,159,172,186,210,245,274,297,316,342,376,410,454,493,531,557,581,612,643,671,703,741,772,796,818,847,886,911,952,988,1017,1053,1072,1102,1139,1186,1224,1238,1284,1341,1400
Mexico,Chiapas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,2,2,2,2,2,3,5,11,18,21,33,37,45,62,72,86,106,116,121,135,167,195,234,272,296,318,346,378,420,471,533,598,693,789,869,986,1087,1204,1325,1442,1560,1687,1874,2044,2254,2439,2684,3010,3298,3699,3958,4167,4411,4794,5149,5584,5989,6343,6706,7137,7478,7991,8593,9223,9760,10183,10530,11101,11629,12264,12939,13506,14034,14671,15463,16059,16828,17580,18470,19172,19848,20788,21757,22698
Mexico,Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,2,3,5,5,6,7,8,9,11,13,16,22,29,36,44,53,64,73,80,95,103,117,121,132,141,150,154,160,167,167,172,181,195,193,203,218,229,243,252,257,269,281,289,308,329,339,350,366,384,412,436,452,472,492,502,525,531,555,571,587,609,635,667,692,735,770,810,843,866,899,939,980
Mexico,Cdmx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,5,7,6,6,7,8,9,10,11,11,12,13,15,16,17,18,19,19,19,21,23,23,25,26,30,30,32,33,37,38,39,44,46,56,60,63,67,73,79,85,88,95,102,110,117,124,129,135
Mexico,Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,3,3,4,4,4,5,5,6,7,7,7,7,8,8,9,9,9,10,11,11,11,10,12,13,12,14,21,23,25,27,29,31,35,40,43,45,50,53,59,64,71,72,74,78,87,95,99,102,105,114,121,127,138,141,150,156,163,175,190,209,218,235,253,272,291,304
